ticket_id,title,description,priority,status,component,reporter,assignee,environment,sdlc_phase,created_date,resolved_date,time_spent_minutes,browser,os
JIRA-1762,Memory leak in background service,Bug found in auth module.,P2,InProgress,database,dev.lead@company.com,UNKNOWN,STAGE,QA,,Not Yet,N/A,chrome,
JIRA-2606,User permissions not applied correctly,Bug found in db module.,LOW,RESOLVED,API,qa.team@company.com,UNKNOWN,development,Requirements,1714094640.0,05/17/2024,,Firefox,Linux
JIRA-2333,Mobile app crashes on startup,Bug found in api module.,P3,Reopened,,UNKNOWN,john.doe@company.com,development,Testing,2024-04-27 11:00:00,05/26/2024,2 hours,Chrome,Linux
JIRA-1974,Export to CSV produces empty file,Bug found in api module.,Low,TODO,database,john.doe@company.com,qa.team@company.com,,QA,25-Jan-2024 02:44:00,2024-02-04 19:44:00,N/A,Firefox,iOS
JIRA-1057,Slow query on reports page,Bug found in auth module.,Major,Closed,user-dashboard,john.doe@company.com,product@company.com,,DESIGN,,,0,IE,Mac
JIRA-1129,UI overlapping on dashboard widgets,Bug found in payment module.,HIGH,OPEN,UI,qa.team@company.com,,STAGE,Requirements,,10/02/2024,-1,chrome,Mac
JIRA-2923,Memory leak in background service,Bug found in db module.,P1,TODO,user-dashboard,dev.lead@company.com,,staging,DESIGN,2024-07-10 05:40:00,N/A,0,IE,Win10
JIRA-1852,Password reset link expired instantly,Bug found in api module.,Critical,Complete,notification-service,,qa.team@company.com,stg,Development,2024-09-14 05:00:00,N/A,-1,Edge,iOS
JIRA-2777,Export to CSV produces empty file,Bug found in db module.,Minor,TODO,auth-service,product@company.com,dev.lead@company.com,development,Dev,,Not Yet,0,chrome,
JIRA-2062,Login button not responding on mobile,Bug found in db module.,LOW,Open,payment-gateway,,john.doe@company.com,STAGE,QA,,2024-08-14 21:19:00,0,IE,ubuntu
JIRA-2171,Timezone conversion incorrect,Bug found in dashboard module.,Trivial,Open,Notifications,,UNKNOWN,PROD,Requirements,05/14/2024 17:06,N/A,0,Chrome,macOS
JIRA-2858,Search results return wrong data,Bug found in payment module.,,Re-opened,Authentication,,qa.team@company.com,development,Testing,,2024-04-05 10:25:00,25.5,Firefox,iOS
JIRA-2258,Email notifications not being sent,Bug found in db module.,CRITICAL,CLOSED,payment-gateway,product@company.com,UNKNOWN,development,DESIGN,1732525680.0,Not Yet,N/A,chrome,Linux
JIRA-2671,Chart rendering fails with large datasets,Bug found in db module.,Normal,OPEN,DB,product@company.com,jane.smith@company.com,dev,requirements,,,,Edge,iOS
JIRA-2158,Email notifications not being sent,Bug found in dashboard module.,High,In Progress,Database,,dev.lead@company.com,staging,Testing,2024-06-17 02:18:00,Not Yet,1 day,FIREFOX,Linux
JIRA-1496,Login button not responding on mobile,Bug found in dashboard module.,P2,Closed,AUTH,john.doe@company.com,jane.smith@company.com,QA,Maintenance,01/27/2024 05:05,,0,Firefox,Android
JIRA-1230,Memory leak in background service,Bug found in payment module.,P1,Verified,payment-gateway,dev.lead@company.com,,Staging,QA,26-Jun-2024 22:35:00,2024-07-13 20:35:00,0,Edge,
JIRA-2128,User permissions not applied correctly,Bug found in api module.,P3,Verified,Backend,qa.team@company.com,jane.smith@company.com,,Deployment,,Not Yet,218,IE,Android
JIRA-1944,Email notifications not being sent,Bug found in auth module.,Minor,Fixed,DB,UNKNOWN,qa.team@company.com,Staging,Maintenance,11/08/2024 07:22,N/A,1 day,FIREFOX,Mac
JIRA-1982,Slow query on reports page,Bug found in auth module.,Blocker,Open,,,jane.smith@company.com,DEV,Maintenance,2024-07-18 22:53:00,07/27/2024,N/A,Edge,Win10
JIRA-1138,User permissions not applied correctly,Bug found in payment module.,Low,RESOLVED,payment-gateway,,john.doe@company.com,QA,DESIGN,2024-05-14 11:01:00,2024-06-09 11:01:00,,,
JIRA-2629,User permissions not applied correctly,Bug found in payment module.,Trivial,CLOSED,database,qa.team@company.com,john.doe@company.com,stg,Maintenance,2024-04-17 01:08:00,,-1,Chrome,iOS
JIRA-1291,Null pointer exception in auth module,Bug found in dashboard module.,P2,Closed,payment-gateway,qa.team@company.com,,prod,Dev,1725205020.0,,-1,IE,Linux
JIRA-1851,Form validation bypassed on submit,Bug found in api module.,HIGH,New,Database,UNKNOWN,,Production,Requirements,2024-04-02 20:02:00,04/07/2024,47,IE,Win10
JIRA-2174,UI overlapping on dashboard widgets,Bug found in db module.,P3,Closed,Backend,qa.team@company.com,,UAT,Design,01/26/2024 04:50,02/17/2024,31.4,Chrome,
JIRA-2622,Null pointer exception in auth module,Bug found in dashboard module.,High,IN_PROGRESS,Backend,,jane.smith@company.com,dev,Deployment,2024-09-04 14:08:00,,6.7,Chrome,Linux
JIRA-1106,Slow query on reports page,Bug found in api module.,P0,TODO,Backend,jane.smith@company.com,,QA,DESIGN,1735520700.0,2025-01-25 04:35:00,-1,Edge,Linux
JIRA-1532,Chart rendering fails with large datasets,Bug found in payment module.,Minor,OPEN,user-dashboard,,john.doe@company.com,Testing,Deployment,09/24/2024 23:59,Not Yet,22.5,,ubuntu
JIRA-1687,Payment gateway returns 500 error,Bug found in payment module.,High,Working,Database,,qa.team@company.com,Production,Design,2024-05-11 20:09:00,05/22/2024,,Edge,Mac
JIRA-2096,Timezone conversion incorrect,Bug found in dashboard module.,MEDIUM,Fixed,Dashboard,,UNKNOWN,,Requirements,1720202700.0,Not Yet,-1,Safari,
JIRA-2835,Search results return wrong data,Bug found in dashboard module.,High,Closed,Payment,dev.lead@company.com,,Testing,Deployment,04/24/2024 20:13,Not Yet,0,chrome,macOS
JIRA-2899,Slow query on reports page,Bug found in auth module.,Major,Done,Notifications,product@company.com,product@company.com,production,Development,2024-03-16 22:29:00,N/A,2 hours,Firefox,Linux
JIRA-2886,CSS broken on Safari browser,Bug found in db module.,Critical,Open,Dashboard,jane.smith@company.com,product@company.com,production,Maintenance,03/02/2024 00:45,,N/A,IE,macOS
JIRA-2765,Payment gateway returns 500 error,Bug found in payment module.,HIGH,TODO,auth-service,UNKNOWN,,DEV,Development,12-Jan-2024 09:18:00,N/A,N/A,Safari,ubuntu
JIRA-1180,Null pointer exception in auth module,Bug found in db module.,P3,CLOSED,Authentication,john.doe@company.com,jane.smith@company.com,prod,,2024-07-19 00:01:00,Not Yet,1 day,Chrome,macOS
JIRA-1516,Slow query on reports page,Bug found in db module.,P3,Re-opened,UI,dev.lead@company.com,product@company.com,DEV,Deployment,04/24/2024 21:18,05/08/2024,N/A,,macOS
JIRA-2391,Timezone conversion incorrect,Bug found in db module.,CRITICAL,OPEN,API,dev.lead@company.com,john.doe@company.com,STAGE,Dev,,2024-12-13 06:38:00,,,
JIRA-1342,API rate limiter not working,Bug found in db module.,High,Working,DB,UNKNOWN,qa.team@company.com,STAGE,Requirements,21-May-2024 20:48:00,06/14/2024,1 day,Safari,Win10
JIRA-2909,Login button not responding on mobile,Bug found in api module.,P3,OPEN,user-dashboard,jane.smith@company.com,,development,requirements,1731421800.0,11/22/2024,0,Edge,
JIRA-1933,Timezone conversion incorrect,Bug found in payment module.,Major,Verified,EMAIL,john.doe@company.com,john.doe@company.com,UAT,Design,2024-05-26 05:12:00,06/09/2024,13.5,Firefox,Win10
JIRA-2141,Session timeout too short,Bug found in auth module.,LOW,Re-opened,DB,dev.lead@company.com,john.doe@company.com,PROD,Requirements,15-Dec-2024 11:43:00,,-1,,Linux
JIRA-2563,Email notifications not being sent,Bug found in payment module.,Trivial,TODO,payment-gateway,,,staging,Development,1716475020.0,2024-05-24 23:07:00,,FIREFOX,Windows 10
JIRA-1708,Chart rendering fails with large datasets,Bug found in auth module.,LOW,IN_PROGRESS,payment-gateway,,qa.team@company.com,,Development,,01/01/2025,-1,,Mac
JIRA-2715,Mobile app crashes on startup,Bug found in dashboard module.,Blocker,CLOSED,Notifications,,UNKNOWN,QA,Design,2024-04-08 06:30:00,N/A,29.0,Chrome,Mac
JIRA-2767,Database timeout on user search,Bug found in db module.,High,Open,Database,UNKNOWN,,dev,Requirements,2024-07-17 13:03:00,N/A,1 day,chrome,ubuntu
JIRA-1370,Search results return wrong data,Bug found in payment module.,Major,Resolved,auth-service,qa.team@company.com,product@company.com,DEV,DESIGN,2024-10-19 05:46:00,,2 hours,Edge,Mac
JIRA-1703,Form validation bypassed on submit,Bug found in db module.,P0,Complete,Backend,qa.team@company.com,qa.team@company.com,Production,Design,07/23/2024 23:35,07/24/2024,,Edge,macOS
JIRA-1917,Slow query on reports page,Bug found in auth module.,Normal,Open,DB,john.doe@company.com,,Production,Requirements,INVALID_DATE,01/16/2025,201,,iOS
JIRA-1735,Password reset link expired instantly,Bug found in api module.,LOW,Working,API,product@company.com,,,Development,,,32.6,Safari,ubuntu
JIRA-2782,Payment gateway returns 500 error,Bug found in payment module.,Medium,Working,database,dev.lead@company.com,dev.lead@company.com,production,requirements,2024-08-15 08:16:00,2024-08-30 23:16:00,213,Firefox,Linux
JIRA-1777,Export to CSV produces empty file,Bug found in db module.,LOW,Reopened,user-dashboard,jane.smith@company.com,product@company.com,QA,,1714143660.0,05/23/2024,0,IE,Mac
JIRA-2727,Database timeout on user search,Bug found in auth module.,High,Complete,auth-service,jane.smith@company.com,john.doe@company.com,prod,Development,12-Jan-2024 11:24:00,,1 day,Chrome,Linux
JIRA-1894,Slow query on reports page,Bug found in dashboard module.,Major,RESOLVED,Payment,,product@company.com,Testing,Deployment,28-Feb-2024 17:21:00,Not Yet,0,,
JIRA-1939,Null pointer exception in auth module,Bug found in payment module.,LOW,Verified,database,,qa.team@company.com,stg,Design,1709929620.0,2024-04-04 14:57:00,2 hours,chrome,
JIRA-1288,File upload fails for PDF files,Bug found in api module.,P2,OPEN,Backend,jane.smith@company.com,,dev,Deployment,2024-12-17 08:37:00,12/25/2024,0,FIREFOX,ubuntu
JIRA-2546,Email notifications not being sent,Bug found in dashboard module.,P2,In Progress,Payment,john.doe@company.com,product@company.com,QA,Dev,03-Oct-2024 04:10:00,,0,,Android
JIRA-1017,Export to CSV produces empty file,Bug found in auth module.,LOW,IN_PROGRESS,payment-gateway,jane.smith@company.com,qa.team@company.com,PROD,Testing,,2024-09-16 20:01:00,2 hours,FIREFOX,Mac
JIRA-1089,User permissions not applied correctly,Bug found in dashboard module.,Minor,IN_PROGRESS,DB,,john.doe@company.com,Testing,Development,2024-05-17 20:11:00,,-1,Safari,Win10
JIRA-2505,Chart rendering fails with large datasets,Bug found in api module.,P2,Fixed,Dashboard,dev.lead@company.com,dev.lead@company.com,STAGE,Maintenance,11/04/2024 15:49,11/26/2024,-1,Edge,iOS
JIRA-1360,User permissions not applied correctly,Bug found in auth module.,P2,New,api-gateway,dev.lead@company.com,UNKNOWN,Staging,QA,2024-11-08 20:58:00,,-1,,Linux
JIRA-2238,Password reset link expired instantly,Bug found in payment module.,Medium,Open,AUTH,john.doe@company.com,jane.smith@company.com,QA,Design,20-Aug-2024 18:56:00,2024-09-04 20:56:00,,Chrome,iOS
JIRA-2171,Timezone conversion incorrect,Bug found in dashboard module.,Trivial,Open,Notifications,,UNKNOWN,PROD,Requirements,05/14/2024 17:06,N/A,0,Chrome,macOS
JIRA-1863,Null pointer exception in auth module,Bug found in payment module.,High,RESOLVED,API,,john.doe@company.com,Production,QA,10-Aug-2024 04:49:00,,26,Edge,Win10
JIRA-2040,Form validation bypassed on submit,Bug found in dashboard module.,CRITICAL,,Payment,qa.team@company.com,qa.team@company.com,stg,Requirements,22-Jul-2024 16:39:00,Not Yet,2 hours,FIREFOX,Android
JIRA-1543,Slow query on reports page,Bug found in api module.,CRITICAL,OPEN,Authentication,john.doe@company.com,jane.smith@company.com,development,Requirements,21-Nov-2024 13:09:00,11/29/2024,-1,Chrome,Linux
JIRA-1191,User permissions not applied correctly,Bug found in dashboard module.,Major,Resolved,Dashboard,,,production,Development,25-Sep-2024 14:02:00,Not Yet,38,,macOS
JIRA-2802,Chart rendering fails with large datasets,Bug found in dashboard module.,P2,In Progress,UI,,dev.lead@company.com,PROD,Testing,,N/A,85,chrome,macOS
JIRA-1921,Timezone conversion incorrect,Bug found in api module.,Major,Re-opened,Authentication,UNKNOWN,jane.smith@company.com,staging,Dev,2024-05-14 06:30:00,2024-05-27 17:30:00,N/A,Firefox,Android
JIRA-1549,File upload fails for PDF files,Bug found in api module.,LOW,REOPENED,notification-service,john.doe@company.com,,Staging,DESIGN,,2024-11-20 05:14:00,,Chrome,Mac
JIRA-2118,Password reset link expired instantly,Bug found in payment module.,Trivial,Open,Database,UNKNOWN,dev.lead@company.com,PROD,Testing,,2024-08-01 09:25:00,1 day,FIREFOX,
JIRA-1989,Memory leak in background service,Bug found in auth module.,MEDIUM,In Progress,DB,dev.lead@company.com,UNKNOWN,staging,DESIGN,25-Mar-2024 12:12:00,04/16/2024,370,chrome,Android
JIRA-2103,Database timeout on user search,Bug found in api module.,Blocker,CLOSED,DB,john.doe@company.com,john.doe@company.com,prod,Maintenance,2024-08-04 04:12:00,2024-08-20 07:12:00,43,,Mac
JIRA-2024,Payment gateway returns 500 error,Bug found in db module.,LOW,OPEN,api-gateway,UNKNOWN,product@company.com,,requirements,,02/10/2024,2 hours,Safari,Android
JIRA-1672,CSS broken on Safari browser,Bug found in payment module.,Medium,IN_PROGRESS,Database,qa.team@company.com,product@company.com,UAT,Maintenance,1734271560.0,,1 day,chrome,
JIRA-1900,Session timeout too short,Bug found in dashboard module.,Minor,TODO,AUTH,jane.smith@company.com,,production,Development,1728694680.0,2024-10-14 22:28:00,1 day,Edge,Android
JIRA-2079,Session timeout too short,Bug found in dashboard module.,Minor,New,database,qa.team@company.com,dev.lead@company.com,staging,DESIGN,2024-05-21 21:08:00,Not Yet,30.4,Safari,Windows 10
JIRA-2316,Memory leak in background service,Bug found in payment module.,P0,Working,Dashboard,,,UAT,,,01/05/2025,,Firefox,Win10
JIRA-2218,Memory leak in background service,Bug found in payment module.,Minor,Verified,Notifications,dev.lead@company.com,,stg,Maintenance,1708379760.0,Not Yet,,chrome,iOS
JIRA-1320,Search results return wrong data,Bug found in dashboard module.,Medium,Verified,API,,dev.lead@company.com,development,Maintenance,2024-10-26 01:43:00,11/20/2024,2 hours,chrome,
JIRA-1226,Memory leak in background service,Bug found in api module.,Major,Working,Authentication,UNKNOWN,jane.smith@company.com,PROD,Development,2024-12-07 23:25:00,12/24/2024,480,Firefox,Linux
JIRA-1161,Slow query on reports page,Bug found in dashboard module.,High,Fixed,database,jane.smith@company.com,qa.team@company.com,DEV,Dev,,2024-10-07 10:17:00,,Chrome,macOS
JIRA-1519,Chart rendering fails with large datasets,Bug found in db module.,Low,REOPENED,auth-service,jane.smith@company.com,,production,QA,,2024-06-08 20:01:00,310,Safari,
JIRA-1759,Export to CSV produces empty file,Bug found in db module.,P3,IN_PROGRESS,notification-service,UNKNOWN,,,Testing,2024-03-11 00:57:00,,-1,IE,Windows 10
JIRA-2635,UI overlapping on dashboard widgets,Bug found in payment module.,HIGH,,user-dashboard,qa.team@company.com,jane.smith@company.com,Staging,Maintenance,,2024-07-26 18:51:00,0,Safari,iOS
JIRA-2537,User permissions not applied correctly,Bug found in api module.,MEDIUM,Closed,user-dashboard,,,Staging,Dev,06-Apr-2024 12:04:00,,1 day,,Win10
JIRA-1938,Email notifications not being sent,Bug found in payment module.,Minor,IN_PROGRESS,notification-service,product@company.com,,dev,Design,INVALID_DATE,N/A,0,Edge,Linux
JIRA-2228,Database timeout on user search,Bug found in dashboard module.,Low,Closed,EMAIL,,jane.smith@company.com,DEV,QA,01/14/2024 15:16,Not Yet,-1,IE,Windows 10
JIRA-2356,CSS broken on Safari browser,Bug found in auth module.,Major,Working,API,dev.lead@company.com,jane.smith@company.com,staging,Design,28-Jun-2024 03:57:00,2024-06-30 10:57:00,0,Chrome,Android
JIRA-1280,Email notifications not being sent,Bug found in payment module.,P2,In Progress,user-dashboard,qa.team@company.com,UNKNOWN,Staging,Requirements,,,N/A,Edge,Linux
JIRA-1751,Payment gateway returns 500 error,Bug found in payment module.,Low,RESOLVED,database,john.doe@company.com,,Production,Design,19-Jun-2024 18:41:00,Not Yet,,Firefox,macOS
JIRA-1183,User permissions not applied correctly,Bug found in api module.,P0,In Progress,UI,dev.lead@company.com,UNKNOWN,PROD,Development,2024-05-25 14:57:00,2024-06-18 02:57:00,26.7,Chrome,macOS
JIRA-2312,Database timeout on user search,Bug found in auth module.,LOW,Closed,Notifications,john.doe@company.com,,stg,Dev,26-Jul-2024 09:10:00,08/05/2024,1 day,Edge,iOS
JIRA-2616,Mobile app crashes on startup,Bug found in api module.,P0,InProgress,api-gateway,product@company.com,UNKNOWN,Development,Design,01/07/2024 23:25,N/A,,Edge,iOS
JIRA-1082,Password reset link expired instantly,Bug found in api module.,,Done,Authentication,jane.smith@company.com,UNKNOWN,production,Design,1712713440.0,Not Yet,212,Edge,Linux
JIRA-1662,User permissions not applied correctly,Bug found in api module.,High,REOPENED,Backend,,jane.smith@company.com,Testing,,1720864020.0,N/A,29.6,Safari,ubuntu
JIRA-2247,Slow query on reports page,Bug found in dashboard module.,Normal,Fixed,Payment,john.doe@company.com,john.doe@company.com,DEV,Maintenance,05/21/2024 10:54,2024-06-05 05:54:00,-1,Safari,iOS
JIRA-2857,Chart rendering fails with large datasets,Bug found in dashboard module.,Normal,Closed,user-dashboard,,UNKNOWN,prod,QA,2024-11-26 01:12:00,,N/A,FIREFOX,Android
JIRA-2339,Database timeout on user search,Bug found in payment module.,P1,REOPENED,Authentication,john.doe@company.com,UNKNOWN,prod,DESIGN,,Not Yet,-1,Edge,Android
JIRA-2955,Timezone conversion incorrect,Bug found in api module.,CRITICAL,Re-opened,API,dev.lead@company.com,product@company.com,PROD,Testing,10/02/2024 13:00,Not Yet,0,Edge,Windows 10
JIRA-1841,Session timeout too short,Bug found in payment module.,CRITICAL,,Database,UNKNOWN,product@company.com,staging,Maintenance,07/16/2024 04:47,08/06/2024,4.1,FIREFOX,Android
JIRA-2013,CSS broken on Safari browser,Bug found in db module.,P2,TODO,payment-gateway,product@company.com,,development,Maintenance,25-Nov-2024 18:59:00,Not Yet,N/A,Safari,macOS
JIRA-1033,Mobile app crashes on startup,Bug found in payment module.,Critical,Complete,UI,,,production,QA,2024-12-12 02:17:00,,,Firefox,Android
JIRA-2711,Form validation bypassed on submit,Bug found in payment module.,Low,InProgress,Payment,qa.team@company.com,dev.lead@company.com,Staging,,30-Oct-2024 06:29:00,N/A,N/A,Chrome,Windows 10
JIRA-1842,Payment gateway returns 500 error,Bug found in dashboard module.,Minor,REOPENED,UI,dev.lead@company.com,dev.lead@company.com,dev,QA,,,,,ubuntu
JIRA-2743,Chart rendering fails with large datasets,Bug found in auth module.,,New,notification-service,dev.lead@company.com,product@company.com,QA,,02/11/2024 11:56,,37.8,FIREFOX,iOS
JIRA-1282,Timezone conversion incorrect,Bug found in dashboard module.,Critical,Done,Dashboard,product@company.com,product@company.com,DEV,Maintenance,12/17/2024 04:18,2025-01-07 07:18:00,217,Firefox,Win10
JIRA-2889,API rate limiter not working,Bug found in dashboard module.,Blocker,,Database,product@company.com,,STAGE,Requirements,2024-12-15 09:03:00,01/12/2025,4.5,Firefox,Android
JIRA-2701,User permissions not applied correctly,Bug found in dashboard module.,HIGH,Open,EMAIL,dev.lead@company.com,UNKNOWN,Production,QA,2024-12-18 06:04:00,2025-01-11 08:04:00,N/A,Firefox,Android
JIRA-1076,Export to CSV produces empty file,Bug found in db module.,Blocker,RESOLVED,auth-service,qa.team@company.com,jane.smith@company.com,DEV,Design,,06/28/2024,1 day,Edge,Linux
JIRA-2912,Password reset link expired instantly,Bug found in dashboard module.,Low,REOPENED,Payment,,qa.team@company.com,Development,Design,2024-07-17 06:18:00,N/A,4.8,FIREFOX,ubuntu
JIRA-1223,CSS broken on Safari browser,Bug found in auth module.,Medium,Open,api-gateway,dev.lead@company.com,jane.smith@company.com,staging,,,2024-09-09 22:49:00,21.1,FIREFOX,Android
JIRA-1021,API rate limiter not working,Bug found in db module.,Normal,CLOSED,API,product@company.com,UNKNOWN,prod,DESIGN,,N/A,1 day,chrome,macOS
JIRA-2113,Timezone conversion incorrect,Bug found in api module.,High,OPEN,database,john.doe@company.com,,,Testing,2024-05-16 02:32:00,,478,Safari,
JIRA-2901,File upload fails for PDF files,Bug found in auth module.,Critical,Verified,,UNKNOWN,UNKNOWN,Testing,Testing,03/10/2024 14:06,,285,Safari,Android
JIRA-2338,Form validation bypassed on submit,Bug found in payment module.,MEDIUM,Re-opened,,dev.lead@company.com,jane.smith@company.com,Production,Testing,07-Jan-2024 02:42:00,,2 hours,Safari,macOS
JIRA-2666,Null pointer exception in auth module,Bug found in db module.,P2,Resolved,database,,product@company.com,dev,requirements,2024-12-24 01:49:00,01/18/2025,2 hours,chrome,Linux
JIRA-2207,User permissions not applied correctly,Bug found in payment module.,LOW,REOPENED,AUTH,product@company.com,jane.smith@company.com,production,Requirements,,N/A,241,Safari,Win10
JIRA-2259,Search results return wrong data,Bug found in db module.,High,In Progress,AUTH,john.doe@company.com,qa.team@company.com,,Maintenance,,N/A,,Firefox,macOS
JIRA-2938,Login button not responding on mobile,Bug found in dashboard module.,LOW,Fixed,Backend,jane.smith@company.com,john.doe@company.com,STAGE,DESIGN,1714575840.0,05/20/2024,-1,chrome,ubuntu
JIRA-1813,Database timeout on user search,Bug found in auth module.,LOW,In Progress,Dashboard,john.doe@company.com,qa.team@company.com,staging,Design,26-Aug-2024 10:26:00,09/25/2024,,,Android
JIRA-2164,CSS broken on Safari browser,Bug found in dashboard module.,Medium,Working,EMAIL,,,development,Testing,,,1 day,IE,ubuntu
JIRA-1277,Chart rendering fails with large datasets,Bug found in dashboard module.,Normal,Resolved,Notifications,,dev.lead@company.com,dev,,2024-05-13 09:39:00,2024-05-24 13:39:00,1 day,chrome,Win10
JIRA-2869,UI overlapping on dashboard widgets,Bug found in db module.,HIGH,RESOLVED,DB,product@company.com,john.doe@company.com,production,QA,1730998680.0,Not Yet,N/A,,Android
JIRA-2934,CSS broken on Safari browser,Bug found in dashboard module.,P3,Re-opened,,qa.team@company.com,,UAT,Testing,1726776720.0,Not Yet,319,Edge,Win10
JIRA-2941,Payment gateway returns 500 error,Bug found in api module.,P2,Closed,PAYMENT,,product@company.com,STAGE,Development,05/15/2024 09:44,Not Yet,1 day,Edge,macOS
JIRA-1468,Null pointer exception in auth module,Bug found in payment module.,CRITICAL,IN_PROGRESS,Notifications,jane.smith@company.com,product@company.com,development,DESIGN,2024-03-30 03:33:00,,,chrome,
JIRA-2466,Email notifications not being sent,Bug found in payment module.,HIGH,Closed,notification-service,,UNKNOWN,PROD,Design,1706618280.0,2024-02-19 10:08:00,N/A,,macOS
JIRA-1595,Database timeout on user search,Bug found in db module.,Critical,RESOLVED,API,,,UAT,Testing,,Not Yet,N/A,Chrome,Linux
JIRA-2022,User permissions not applied correctly,Bug found in payment module.,,Re-opened,Authentication,john.doe@company.com,qa.team@company.com,prod,,06/23/2024 07:47,Not Yet,18.9,Firefox,ubuntu
JIRA-1511,Password reset link expired instantly,Bug found in auth module.,P3,In Progress,EMAIL,,qa.team@company.com,UAT,Maintenance,2024-02-16 02:25:00,02/20/2024,N/A,FIREFOX,Mac
JIRA-1541,Search results return wrong data,Bug found in api module.,Minor,CLOSED,payment-gateway,jane.smith@company.com,dev.lead@company.com,Production,Testing,2024-02-24 11:36:00,2024-03-25 14:36:00,117,chrome,Linux
JIRA-2410,Session timeout too short,Bug found in payment module.,HIGH,InProgress,DB,qa.team@company.com,product@company.com,stg,QA,15-Jul-2024 22:14:00,,2 hours,Edge,Linux
JIRA-2206,Export to CSV produces empty file,Bug found in api module.,Medium,Reopened,payment-gateway,,UNKNOWN,stg,Development,,2024-07-17 23:22:00,N/A,,Windows 10
JIRA-2514,Form validation bypassed on submit,Bug found in api module.,Major,Done,API,,dev.lead@company.com,production,Development,13-Nov-2024 12:21:00,Not Yet,N/A,FIREFOX,Windows 10
JIRA-1937,Mobile app crashes on startup,Bug found in api module.,,RESOLVED,notification-service,qa.team@company.com,,STAGE,DESIGN,04/24/2024 10:29,N/A,2 hours,,iOS
JIRA-1337,Database timeout on user search,Bug found in auth module.,Critical,New,payment-gateway,product@company.com,,DEV,Testing,INVALID_DATE,,,Firefox,Win10
JIRA-2864,Payment gateway returns 500 error,Bug found in api module.,High,Fixed,API,qa.team@company.com,UNKNOWN,staging,Requirements,,,N/A,IE,iOS
JIRA-1510,UI overlapping on dashboard widgets,Bug found in dashboard module.,Major,Complete,database,UNKNOWN,UNKNOWN,DEV,Development,06/25/2024 18:52,,-1,Edge,Win10
JIRA-2321,Chart rendering fails with large datasets,Bug found in db module.,Medium,Re-opened,AUTH,,john.doe@company.com,Testing,Development,,N/A,2 hours,Safari,macOS
JIRA-1614,Payment gateway returns 500 error,Bug found in dashboard module.,High,IN_PROGRESS,api-gateway,dev.lead@company.com,john.doe@company.com,PROD,Development,INVALID_DATE,N/A,-1,IE,iOS
JIRA-2319,Search results return wrong data,Bug found in payment module.,P0,Re-opened,Database,jane.smith@company.com,,PROD,Requirements,15-Jan-2024 04:08:00,2024-02-03 02:08:00,N/A,IE,ubuntu
JIRA-1809,Memory leak in background service,Bug found in api module.,MEDIUM,Fixed,Database,UNKNOWN,UNKNOWN,PROD,Deployment,,Not Yet,2 hours,FIREFOX,Android
JIRA-2978,Email notifications not being sent,Bug found in api module.,Low,REOPENED,Backend,product@company.com,qa.team@company.com,prod,Testing,,2024-10-03 14:05:00,2 hours,chrome,iOS
