Bug #,Bug Title,Severity,Status Notes,Found By,Date Found,Module,Notes
61,slow performance,Not Important,closed - duplicate,PM,,Login,Critical for release
62,page not loading,high,Open,,last week,Login,Customer complaint
63,error on submit,Lo,,QA Team,April 2024,API,Customer complaint
64,login broken,N/A,need more info,QA Team,"Jan 15, 2024",API,Happens sometimes
65,wrong calculation,Low,,Developer,,Database,Low priority
66,wrong calculation,N/A,Open,Developer,last week,Database,Low priority
67,wrong calculation,Low,,,yesterday,Login,Customer complaint
68,crash on mobile,medium,Open,PM,yesterday,Dashboard,Critical for release
69,ui looks weird,Medium,Cant reproduce,Customer,April 2024,Dashboard,
70,crash on mobile,Med,Still working on it,,,Reports,Low priority
71,crash on mobile,Very High,,PM,last week,API,Found in sprint 5
72,ui looks weird,very high,waiting for deploy,QA Team,,Reports,Customer complaint
73,data not saving,Med,need more info,QA Team,2024-02-20,Reports,Low priority
74,crash on mobile,High,DONE,PM,,Auth,
75,missing button,Med,closed - duplicate,Auto Test,last week,,Low priority
76,data not saving,Medium,Fixed by John on Monday,,,Database,Happens sometimes
77,wrong calculation,high,Fixed,Auto Test,2024-02-20,Database,
78,page not loading,High,Still working on it,Customer,yesterday,,
79,page not loading,High,DONE,Auto Test,2024-02-20,Login,Found in sprint 5
80,ui looks weird,low,Open,,,Login,Low priority
81,ui looks weird,V. High,waiting for deploy,,,Payments,Critical for release
82,missing button,V. High,need more info,Customer,yesterday,API,
83,ui looks weird,very high,,,April 2024,Reports,Happens sometimes
84,wrong calculation,Medium,wont fix,,yesterday,Auth,Low priority
85,timeout error,medium,waiting for deploy,,last week,Payments,Low priority
86,missing button,,,Developer,April 2024,Login,Found in sprint 5
87,crash on mobile,Hi,need more info,Developer,"Jan 15, 2024",Database,Customer complaint
88,ui looks weird,Medium,Open,Auto Test,3/15/24,API,Low priority
89,missing button,High,Open,,April 2024,UI,Low priority
90,error on submit,medium,Fixed,Developer,,Dashboard,Critical for release
91,missing button,med,,Auto Test,"Jan 15, 2024",,
92,ui looks weird,Hi,Fixed by John on Monday,Customer,,Dashboard,Critical for release
93,data not saving,High,Still working on it,QA Team,3/15/24,Login,Found in sprint 5
94,login broken,Med,waiting for deploy,,,Database,Customer complaint
95,timeout error,N/A,Fixed by John on Monday,Auto Test,April 2024,,
96,missing button,Med,Fixed,,,Payments,Critical for release
97,login broken,Medium,DONE,,April 2024,Reports,
98,slow performance,V. High,Fixed by John on Monday,,,UI,Happens sometimes
99,page not loading,Lo,DONE,Auto Test,,Login,Customer complaint
100,page not loading,Lo,closed - duplicate,Auto Test,April 2024,Database,Customer complaint
101,ui looks weird,very high,need more info,PM,yesterday,,Low priority
102,wrong calculation,very high,closed - duplicate,Auto Test,last week,API,
103,missing button,high,,QA Team,2024-02-20,Reports,Low priority
104,crash on mobile,Medium,Fixed by John on Monday,,,Payments,
105,error on submit,low,Fixed,Developer,2024-02-20,Reports,
106,wrong calculation,N/A,Fixed by John on Monday,Customer,April 2024,Auth,
107,ui looks weird,Low,,,,Auth,Customer complaint
108,crash on mobile,V. High,Open,Developer,3/15/24,Payments,Happens sometimes
109,missing button,Very High,closed - duplicate,PM,yesterday,API,Found in sprint 5
110,missing button,Lo,Fixed by John on Monday,QA Team,April 2024,Login,Happens sometimes
111,data not saving,Hi,Fixed,Auto Test,"Jan 15, 2024",Login,Customer complaint
112,page not loading,Lo,DONE,PM,April 2024,Auth,Happens sometimes
113,wrong calculation,Medium,,,April 2024,Database,
114,error on submit,very high,waiting for deploy,,3/15/24,Reports,Customer complaint
115,page not loading,V. High,Still working on it,Customer,,Reports,Found in sprint 5
116,crash on mobile,med,Fixed by John on Monday,Developer,,Reports,Low priority
117,data not saving,N/A,waiting for deploy,,yesterday,API,Happens sometimes
118,error on submit,Medium,need more info,QA Team,April 2024,Dashboard,
119,ui looks weird,Lo,Still working on it,Developer,April 2024,Dashboard,Low priority
120,slow performance,,Fixed by John on Monday,Customer,3/15/24,Reports,Low priority
121,timeout error,med,wont fix,QA Team,yesterday,Dashboard,Customer complaint
122,data not saving,high,need more info,PM,yesterday,,
123,error on submit,medium,Cant reproduce,Developer,2024-02-20,Database,
124,timeout error,very high,need more info,Customer,last week,Reports,
125,data not saving,Hi,Open,PM,April 2024,UI,Happens sometimes
126,timeout error,Med,Fixed by John on Monday,QA Team,,Login,
127,ui looks weird,Medium,Open,Developer,2024-02-20,UI,Happens sometimes
128,crash on mobile,low,wont fix,Customer,last week,Dashboard,
129,slow performance,med,,Developer,,Login,Low priority
130,slow performance,Not Important,,,,Database,
131,login broken,V. High,Still working on it,Auto Test,,Auth,Customer complaint
132,slow performance,High,DONE,,yesterday,Login,Happens sometimes
133,ui looks weird,high,Fixed,,2024-02-20,Login,Customer complaint
134,error on submit,Medium,wont fix,Auto Test,,Reports,Customer complaint
135,data not saving,very high,wont fix,Customer,yesterday,UI,Happens sometimes
136,error on submit,V. High,Still working on it,PM,,Database,Happens sometimes
137,crash on mobile,very high,DONE,,3/15/24,UI,
138,data not saving,High,DONE,,,Reports,
139,ui looks weird,V. High,,Developer,"Jan 15, 2024",Auth,
140,ui looks weird,V. High,,Customer,,API,Happens sometimes
141,timeout error,Low,DONE,,"Jan 15, 2024",Reports,Critical for release
142,crash on mobile,Hi,closed - duplicate,PM,2024-02-20,Reports,
143,ui looks weird,N/A,,,last week,Reports,Low priority
144,timeout error,low,Cant reproduce,Customer,"Jan 15, 2024",Payments,Low priority
145,missing button,Not Important,,PM,April 2024,Payments,Low priority
146,wrong calculation,Very High,Fixed by John on Monday,,3/15/24,API,Customer complaint
147,slow performance,N/A,Open,Auto Test,3/15/24,Login,
148,error on submit,High,closed - duplicate,,"Jan 15, 2024",Dashboard,Customer complaint
149,wrong calculation,medium,need more info,,,UI,Found in sprint 5
150,page not loading,medium,,PM,yesterday,Database,Happens sometimes
151,wrong calculation,high,waiting for deploy,QA Team,yesterday,Payments,Customer complaint
152,error on submit,,DONE,QA Team,April 2024,Payments,Low priority
153,missing button,medium,DONE,PM,,Reports,Customer complaint
154,login broken,V. High,Cant reproduce,,"Jan 15, 2024",API,Critical for release
155,ui looks weird,medium,waiting for deploy,Auto Test,"Jan 15, 2024",Database,Customer complaint
156,missing button,Not Important,Fixed by John on Monday,PM,2024-02-20,Dashboard,Happens sometimes
157,ui looks weird,very high,,PM,yesterday,UI,Customer complaint
158,login broken,High,waiting for deploy,Auto Test,3/15/24,Dashboard,
159,timeout error,Lo,wont fix,Auto Test,,Dashboard,Customer complaint
160,error on submit,High,wont fix,QA Team,2024-02-20,,Found in sprint 5
161,wrong calculation,Very High,,Auto Test,last week,Reports,Happens sometimes
162,data not saving,Low,need more info,Developer,"Jan 15, 2024",Database,
163,login broken,High,,,"Jan 15, 2024",Payments,Low priority
164,login broken,Med,,,,UI,Low priority
165,slow performance,V. High,Still working on it,QA Team,2024-02-20,Dashboard,
166,timeout error,Very High,Cant reproduce,PM,"Jan 15, 2024",Auth,Critical for release
167,page not loading,N/A,Open,,"Jan 15, 2024",Database,Critical for release
168,error on submit,Low,,,2024-02-20,Payments,Happens sometimes
169,ui looks weird,Hi,need more info,Customer,,Dashboard,Happens sometimes
170,page not loading,Medium,DONE,Developer,last week,Auth,
171,crash on mobile,,Cant reproduce,Auto Test,2024-02-20,Payments,Happens sometimes
172,ui looks weird,very high,,QA Team,,Auth,Happens sometimes
173,page not loading,med,,Customer,,Login,
174,timeout error,Med,Fixed by John on Monday,QA Team,2024-02-20,Database,Low priority
175,login broken,N/A,closed - duplicate,Developer,last week,Database,Critical for release
176,crash on mobile,Medium,Fixed by John on Monday,PM,April 2024,UI,Critical for release
177,missing button,medium,closed - duplicate,Auto Test,2024-02-20,Auth,Critical for release
178,wrong calculation,N/A,,QA Team,,Auth,Found in sprint 5
179,slow performance,very high,Cant reproduce,Developer,yesterday,,
180,error on submit,med,,,"Jan 15, 2024",Auth,Critical for release
181,ui looks weird,medium,,,yesterday,API,Happens sometimes
182,page not loading,,Fixed by John on Monday,Developer,last week,Database,Customer complaint
183,error on submit,Low,need more info,,April 2024,API,Customer complaint
184,missing button,Very High,Still working on it,Customer,,UI,
185,missing button,Very High,Cant reproduce,QA Team,2024-02-20,UI,
186,ui looks weird,very high,need more info,QA Team,April 2024,Reports,
187,ui looks weird,Med,,PM,April 2024,UI,Low priority
188,login broken,V. High,Still working on it,Developer,,Dashboard,Low priority
189,wrong calculation,Hi,Open,Developer,,UI,
190,data not saving,Not Important,Fixed,Customer,last week,Auth,Customer complaint
191,wrong calculation,N/A,Fixed,,April 2024,API,Found in sprint 5
192,timeout error,Hi,,,last week,Payments,Happens sometimes
193,missing button,Lo,wont fix,Customer,,Payments,Critical for release
194,login broken,Medium,Open,Customer,2024-02-20,Dashboard,Critical for release
195,error on submit,High,wont fix,,April 2024,API,
196,page not loading,Low,Still working on it,Auto Test,"Jan 15, 2024",Database,
197,page not loading,Lo,wont fix,Auto Test,2024-02-20,Dashboard,Low priority
198,missing button,Low,need more info,,,Login,Low priority
199,ui looks weird,V. High,Cant reproduce,QA Team,,Login,Critical for release
200,missing button,med,Cant reproduce,,last week,,
201,timeout error,medium,waiting for deploy,QA Team,3/15/24,Database,Low priority
202,error on submit,Very High,Fixed by John on Monday,Auto Test,April 2024,Dashboard,Customer complaint
203,crash on mobile,Lo,,,last week,Reports,Low priority
204,timeout error,High,Still working on it,,April 2024,Payments,Low priority
205,slow performance,low,Still working on it,Developer,,,Found in sprint 5
206,error on submit,medium,need more info,Developer,"Jan 15, 2024",API,Found in sprint 5
207,wrong calculation,high,,Developer,last week,Auth,Low priority
208,error on submit,High,Fixed,PM,yesterday,Dashboard,Happens sometimes
209,error on submit,Very High,DONE,,last week,Reports,Customer complaint
210,timeout error,high,Fixed by John on Monday,,"Jan 15, 2024",UI,Critical for release
211,wrong calculation,Medium,,QA Team,"Jan 15, 2024",UI,
212,slow performance,med,wont fix,PM,,Login,Critical for release
213,ui looks weird,Medium,waiting for deploy,PM,2024-02-20,Auth,
214,ui looks weird,Not Important,waiting for deploy,Auto Test,yesterday,API,
215,timeout error,N/A,Fixed,Customer,,Auth,Critical for release
216,wrong calculation,Hi,closed - duplicate,,yesterday,Database,
217,timeout error,Low,Fixed,Customer,,Auth,Low priority
218,ui looks weird,med,closed - duplicate,,,Login,Found in sprint 5
219,page not loading,very high,,Auto Test,3/15/24,Login,Found in sprint 5
220,missing button,Low,closed - duplicate,,last week,Database,
221,error on submit,Very High,Open,Developer,3/15/24,Reports,
222,crash on mobile,very high,DONE,Developer,last week,Login,
223,slow performance,low,waiting for deploy,PM,2024-02-20,Dashboard,Happens sometimes
224,wrong calculation,high,Cant reproduce,,3/15/24,Login,
225,missing button,high,Still working on it,QA Team,2024-02-20,Payments,
226,login broken,V. High,closed - duplicate,Auto Test,April 2024,Database,
227,timeout error,V. High,Still working on it,Auto Test,last week,UI,Found in sprint 5
228,login broken,Medium,waiting for deploy,Developer,,Reports,
229,timeout error,medium,Open,Developer,,Auth,Critical for release
230,timeout error,Low,wont fix,PM,3/15/24,,Critical for release
231,ui looks weird,high,Fixed by John on Monday,,3/15/24,Payments,
232,data not saving,N/A,DONE,PM,,UI,Happens sometimes
233,slow performance,low,closed - duplicate,Developer,3/15/24,Database,
234,login broken,low,Cant reproduce,Developer,3/15/24,Database,Found in sprint 5
235,missing button,low,need more info,,3/15/24,Auth,Happens sometimes
236,wrong calculation,Med,DONE,Customer,April 2024,UI,Customer complaint
237,login broken,V. High,closed - duplicate,Customer,,Auth,
238,missing button,Med,,Auto Test,April 2024,UI,
239,slow performance,medium,Still working on it,PM,3/15/24,,Customer complaint
240,slow performance,N/A,waiting for deploy,,,Login,
241,timeout error,V. High,Fixed,,,,Customer complaint
242,missing button,high,Fixed,,April 2024,UI,Low priority
243,slow performance,low,wont fix,,3/15/24,Database,Low priority
244,crash on mobile,Low,DONE,PM,,Database,Found in sprint 5
245,ui looks weird,V. High,waiting for deploy,Customer,yesterday,Auth,Happens sometimes
246,timeout error,,Still working on it,Auto Test,April 2024,Auth,Critical for release
247,crash on mobile,Not Important,need more info,Developer,3/15/24,Auth,
248,login broken,med,Cant reproduce,PM,3/15/24,Payments,Happens sometimes
249,crash on mobile,High,need more info,,April 2024,,Customer complaint
250,ui looks weird,Very High,,Auto Test,"Jan 15, 2024",Reports,Low priority
251,crash on mobile,Low,Open,,yesterday,UI,Happens sometimes
252,timeout error,N/A,Still working on it,Developer,,Dashboard,Happens sometimes
253,timeout error,Low,wont fix,Customer,,Database,Customer complaint
254,missing button,Medium,Still working on it,Customer,2024-02-20,UI,
255,login broken,Lo,Cant reproduce,,"Jan 15, 2024",Login,Critical for release
256,crash on mobile,medium,,Customer,,Auth,
257,wrong calculation,Very High,Open,Customer,last week,Reports,Found in sprint 5
258,error on submit,Very High,waiting for deploy,Customer,"Jan 15, 2024",Auth,Happens sometimes
259,page not loading,V. High,Fixed by John on Monday,,,Payments,
260,login broken,Not Important,Open,QA Team,yesterday,Auth,
261,error on submit,very high,need more info,Developer,last week,UI,Happens sometimes
262,timeout error,High,Still working on it,Developer,last week,Auth,Happens sometimes
263,wrong calculation,Hi,,Auto Test,,Dashboard,Happens sometimes
264,data not saving,very high,waiting for deploy,,,Auth,Low priority
265,wrong calculation,high,,Customer,April 2024,API,Found in sprint 5
266,timeout error,Med,Still working on it,,,API,Happens sometimes
267,data not saving,Not Important,,Customer,"Jan 15, 2024",Database,
268,wrong calculation,High,waiting for deploy,,2024-02-20,Database,Customer complaint
269,login broken,med,Fixed by John on Monday,Customer,3/15/24,Dashboard,Low priority
270,error on submit,Med,need more info,PM,April 2024,Auth,
271,login broken,low,Fixed by John on Monday,,last week,Login,
272,data not saving,,closed - duplicate,PM,last week,Login,Happens sometimes
273,ui looks weird,med,DONE,Auto Test,2024-02-20,Payments,Happens sometimes
274,login broken,,need more info,Auto Test,2024-02-20,API,Low priority
275,login broken,V. High,,PM,April 2024,Database,
276,login broken,Medium,closed - duplicate,Customer,,API,Low priority
277,ui looks weird,Medium,,,,,Critical for release
278,crash on mobile,Very High,DONE,PM,2024-02-20,,Found in sprint 5
279,crash on mobile,very high,DONE,Auto Test,April 2024,UI,Found in sprint 5
280,login broken,Hi,waiting for deploy,Developer,,UI,Critical for release
281,wrong calculation,med,Open,PM,"Jan 15, 2024",Dashboard,
282,timeout error,Medium,Fixed by John on Monday,Customer,April 2024,API,
283,wrong calculation,Medium,need more info,,,Auth,Low priority
284,login broken,Med,,Developer,April 2024,Auth,Low priority
285,timeout error,High,Cant reproduce,PM,2024-02-20,Database,
286,missing button,Hi,Fixed by John on Monday,QA Team,,Payments,Happens sometimes
287,crash on mobile,,closed - duplicate,PM,"Jan 15, 2024",Dashboard,Found in sprint 5
288,missing button,N/A,Fixed,Developer,yesterday,API,Low priority
289,missing button,high,,,,API,Customer complaint
290,page not loading,med,Open,,3/15/24,,Low priority
291,page not loading,High,wont fix,,April 2024,Reports,Critical for release
292,error on submit,medium,,Customer,"Jan 15, 2024",Database,
293,missing button,,Cant reproduce,PM,last week,API,Happens sometimes
294,ui looks weird,Low,Cant reproduce,Customer,2024-02-20,Auth,
295,login broken,medium,Cant reproduce,PM,yesterday,Reports,
296,slow performance,very high,Cant reproduce,QA Team,2024-02-20,Dashboard,
297,ui looks weird,Medium,,PM,3/15/24,,
298,crash on mobile,Lo,Fixed,PM,April 2024,Login,Customer complaint
299,error on submit,Lo,,Customer,2024-02-20,Database,Customer complaint
300,data not saving,very high,waiting for deploy,,April 2024,Auth,Customer complaint
301,login broken,Hi,Cant reproduce,QA Team,3/15/24,UI,Customer complaint
302,missing button,Very High,waiting for deploy,,"Jan 15, 2024",Login,Found in sprint 5
303,crash on mobile,V. High,Open,Developer,yesterday,UI,
304,data not saving,med,need more info,,"Jan 15, 2024",Payments,Happens sometimes
305,slow performance,N/A,closed - duplicate,Auto Test,April 2024,Dashboard,
306,missing button,med,DONE,,2024-02-20,Payments,
307,crash on mobile,V. High,,Developer,yesterday,,Found in sprint 5
308,page not loading,med,DONE,QA Team,,Database,
309,page not loading,,waiting for deploy,PM,yesterday,Dashboard,
310,page not loading,Medium,Still working on it,Customer,yesterday,Reports,Critical for release
311,page not loading,Med,closed - duplicate,Auto Test,April 2024,Dashboard,Customer complaint
312,ui looks weird,high,Fixed,QA Team,"Jan 15, 2024",Auth,Low priority
313,slow performance,N/A,Still working on it,Developer,April 2024,Auth,Customer complaint
314,crash on mobile,medium,Open,,April 2024,UI,Customer complaint
315,timeout error,Low,,Developer,"Jan 15, 2024",Login,Critical for release
316,missing button,Med,,PM,2024-02-20,UI,Critical for release
317,error on submit,Medium,,Developer,,API,Customer complaint
318,ui looks weird,medium,closed - duplicate,Customer,3/15/24,,Low priority
319,login broken,V. High,Open,Developer,3/15/24,Login,
320,missing button,,closed - duplicate,Auto Test,last week,Auth,Found in sprint 5
321,ui looks weird,Hi,wont fix,PM,,Login,Happens sometimes
322,wrong calculation,N/A,waiting for deploy,Developer,yesterday,UI,Found in sprint 5
323,ui looks weird,Hi,Cant reproduce,Auto Test,"Jan 15, 2024",,Happens sometimes
324,wrong calculation,very high,Fixed by John on Monday,Developer,"Jan 15, 2024",Reports,Low priority
325,crash on mobile,high,Fixed,,,Payments,Customer complaint
326,timeout error,Very High,Fixed by John on Monday,PM,,API,Happens sometimes
327,page not loading,Not Important,Fixed by John on Monday,,last week,Payments,Found in sprint 5
328,data not saving,low,Still working on it,PM,2024-02-20,Reports,
329,login broken,high,closed - duplicate,Auto Test,,Dashboard,Customer complaint
330,ui looks weird,Low,DONE,QA Team,3/15/24,API,Critical for release
331,ui looks weird,Medium,need more info,Developer,3/15/24,Reports,
332,crash on mobile,,Open,Auto Test,April 2024,Payments,Happens sometimes
333,ui looks weird,Low,Still working on it,,last week,Database,Happens sometimes
334,crash on mobile,low,,Customer,"Jan 15, 2024",,Happens sometimes
335,page not loading,very high,Open,QA Team,2024-02-20,Dashboard,
336,wrong calculation,very high,Open,Auto Test,"Jan 15, 2024",Auth,Critical for release
337,timeout error,Low,,PM,,UI,Found in sprint 5
338,ui looks weird,Hi,wont fix,Customer,April 2024,Auth,Found in sprint 5
339,page not loading,Low,need more info,QA Team,2024-02-20,API,Low priority
340,page not loading,high,Fixed,,2024-02-20,Payments,
341,ui looks weird,high,Fixed,,last week,Dashboard,
342,slow performance,Med,wont fix,,"Jan 15, 2024",API,
343,slow performance,,waiting for deploy,Customer,April 2024,,
344,missing button,low,Cant reproduce,PM,3/15/24,API,
345,login broken,very high,Still working on it,,2024-02-20,Payments,Customer complaint
346,missing button,Med,need more info,Developer,2024-02-20,Database,Low priority
347,data not saving,Very High,,,,,Happens sometimes
348,timeout error,med,,,,Dashboard,Critical for release
349,login broken,medium,Open,Auto Test,2024-02-20,Database,
350,page not loading,Not Important,,Customer,April 2024,Payments,Found in sprint 5
351,wrong calculation,High,,PM,"Jan 15, 2024",Database,
352,data not saving,low,need more info,Customer,yesterday,Auth,Low priority
353,wrong calculation,N/A,wont fix,Auto Test,yesterday,,Happens sometimes
354,login broken,high,,Auto Test,3/15/24,Database,Low priority
355,page not loading,V. High,Still working on it,,3/15/24,UI,
356,data not saving,Hi,Open,,,Payments,
357,missing button,V. High,waiting for deploy,Developer,"Jan 15, 2024",Reports,Found in sprint 5
358,missing button,Low,wont fix,Customer,April 2024,,Happens sometimes
359,timeout error,V. High,closed - duplicate,Developer,,Auth,
360,slow performance,low,wont fix,QA Team,2024-02-20,Reports,
361,crash on mobile,Med,wont fix,,yesterday,Dashboard,Low priority
362,ui looks weird,Hi,wont fix,QA Team,,Database,
363,data not saving,Medium,DONE,,last week,API,Found in sprint 5
364,page not loading,Not Important,Still working on it,,3/15/24,Login,Low priority
365,login broken,low,closed - duplicate,Customer,"Jan 15, 2024",Dashboard,Happens sometimes
366,timeout error,V. High,Cant reproduce,,,UI,Low priority
367,ui looks weird,med,closed - duplicate,Auto Test,3/15/24,Auth,
368,timeout error,medium,Cant reproduce,,,Login,Happens sometimes
369,data not saving,,Fixed by John on Monday,Customer,April 2024,Dashboard,Happens sometimes
370,missing button,N/A,DONE,QA Team,last week,Database,
371,crash on mobile,N/A,closed - duplicate,Customer,,Login,Low priority
372,timeout error,very high,need more info,Customer,yesterday,Dashboard,Happens sometimes
373,missing button,very high,Cant reproduce,Customer,,Database,Happens sometimes
374,wrong calculation,Low,wont fix,Auto Test,"Jan 15, 2024",Reports,
375,timeout error,med,need more info,QA Team,yesterday,Login,
376,ui looks weird,med,Still working on it,Developer,April 2024,API,Found in sprint 5
377,ui looks weird,medium,Fixed,,3/15/24,Payments,Customer complaint
378,data not saving,N/A,DONE,Developer,yesterday,,Found in sprint 5
379,crash on mobile,very high,DONE,,,API,
380,crash on mobile,High,Still working on it,Auto Test,,Payments,Happens sometimes
381,ui looks weird,low,,,2024-02-20,Auth,Low priority
382,page not loading,Low,Open,Auto Test,2024-02-20,API,Found in sprint 5
383,login broken,medium,wont fix,Developer,"Jan 15, 2024",API,Critical for release
384,crash on mobile,Hi,Open,,yesterday,,
385,ui looks weird,,Cant reproduce,Developer,April 2024,Reports,
386,ui looks weird,Medium,Open,QA Team,"Jan 15, 2024",Database,Critical for release
387,ui looks weird,medium,Open,Auto Test,,Dashboard,Critical for release
388,data not saving,V. High,Open,,last week,API,Found in sprint 5
389,page not loading,Not Important,,,last week,Auth,
390,page not loading,med,Fixed,Customer,April 2024,,Customer complaint
391,missing button,Very High,Fixed by John on Monday,Customer,"Jan 15, 2024",Login,Critical for release
392,data not saving,Very High,Open,PM,,Database,Found in sprint 5
393,crash on mobile,med,Still working on it,Customer,2024-02-20,,
394,missing button,medium,,Auto Test,"Jan 15, 2024",Auth,Critical for release
395,crash on mobile,very high,Cant reproduce,PM,"Jan 15, 2024",Reports,Customer complaint
396,data not saving,High,Cant reproduce,PM,"Jan 15, 2024",Auth,Critical for release
397,error on submit,Hi,Open,Customer,yesterday,API,
398,data not saving,Hi,Open,Developer,,Payments,Customer complaint
399,ui looks weird,Med,waiting for deploy,,2024-02-20,Dashboard,Low priority
400,timeout error,V. High,,,yesterday,Reports,Low priority
401,missing button,Hi,wont fix,,,Reports,Found in sprint 5
402,data not saving,low,DONE,QA Team,2024-02-20,Dashboard,
403,ui looks weird,medium,DONE,,2024-02-20,Database,Customer complaint
404,slow performance,Very High,Cant reproduce,PM,"Jan 15, 2024",,
405,login broken,high,,Auto Test,"Jan 15, 2024",Payments,Found in sprint 5
406,ui looks weird,med,Cant reproduce,,April 2024,Dashboard,Low priority
407,data not saving,High,waiting for deploy,Developer,,Dashboard,Customer complaint
408,slow performance,med,Fixed by John on Monday,QA Team,,Auth,Low priority
409,page not loading,medium,Still working on it,,yesterday,API,Customer complaint
410,error on submit,low,Still working on it,,,API,
411,slow performance,Very High,Still working on it,PM,"Jan 15, 2024",Payments,Found in sprint 5
412,wrong calculation,Low,Fixed,,April 2024,UI,Critical for release
413,data not saving,N/A,Still working on it,Developer,yesterday,Login,Customer complaint
414,data not saving,Low,,,,UI,Low priority
415,wrong calculation,very high,Fixed by John on Monday,,3/15/24,API,Critical for release
416,data not saving,Not Important,Fixed,,,Login,
417,ui looks weird,Low,Open,Customer,,Auth,
418,error on submit,med,waiting for deploy,Customer,April 2024,Auth,
419,slow performance,Med,Cant reproduce,QA Team,,Payments,Low priority
420,data not saving,Very High,Fixed by John on Monday,Developer,"Jan 15, 2024",Dashboard,Low priority
421,slow performance,high,Cant reproduce,Auto Test,"Jan 15, 2024",Reports,Low priority
422,ui looks weird,Not Important,waiting for deploy,QA Team,3/15/24,UI,Happens sometimes
423,error on submit,very high,Still working on it,,,Reports,
424,login broken,Low,,QA Team,April 2024,Dashboard,
