source,ticket_id,title,description,priority,status,component,reporter,assignee,environment,sdlc_phase,created_date,resolved_date,time_spent_minutes,browser,os,resolution_days,bug_type
JIRA,JIRA-1138,User permissions not applied correctly,Bug found in payment module.,Low,Resolved,Payment,Unknown,john.doe@company.com,Testing,Design,2024-05-14 11:01:00,2024-06-09 11:01:00,,,,26.0,Security
JIRA,JIRA-2629,User permissions not applied correctly,Bug found in payment module.,Low,Closed,Database,qa.team@company.com,john.doe@company.com,Staging,Maintenance,2024-04-17 01:08:00,,,Chrome,iOS,,Security
JIRA,JIRA-1291,Null pointer exception in auth module,Bug found in dashboard module.,Medium,Closed,Payment,qa.team@company.com,Unknown,Production,Development,2024-09-01 15:37:00,,,Internet Explorer,Linux,,Crash/Fatal
JIRA,JIRA-1851,Form validation bypassed on submit,Bug found in api module.,High,Open,Database,Unknown,Unknown,Production,Requirements,2024-04-02 20:02:00,2024-04-07 00:00:00,47.0,Internet Explorer,Windows,4.0,Functional
JIRA,JIRA-2174,UI overlapping on dashboard widgets,Bug found in db module.,Low,Closed,API,qa.team@company.com,Unknown,Testing,Design,2024-01-26 04:50:00,2024-02-17 00:00:00,31.4,Chrome,,21.0,UI/Visual
JIRA,JIRA-2622,Null pointer exception in auth module,Bug found in dashboard module.,High,In Progress,API,Unknown,jane.smith@company.com,Development,Deployment,2024-09-04 14:08:00,,6.7,Chrome,Linux,,Crash/Fatal
JIRA,JIRA-1106,Slow query on reports page,Bug found in api module.,Critical,Open,API,jane.smith@company.com,Unknown,Testing,Design,2024-12-30 01:05:00,2025-01-25 04:35:00,,Edge,Linux,26.0,Performance
JIRA,JIRA-1532,Chart rendering fails with large datasets,Bug found in payment module.,Low,Open,Dashboard,Unknown,john.doe@company.com,Testing,Deployment,2024-09-24 23:59:00,,22.5,,Linux,,Data Integrity
JIRA,JIRA-1687,Payment gateway returns 500 error,Bug found in payment module.,High,In Progress,Database,Unknown,qa.team@company.com,Production,Design,2024-05-11 20:09:00,2024-05-22 00:00:00,,Edge,macOS,10.0,API/Integration
JIRA,JIRA-2096,Timezone conversion incorrect,Bug found in dashboard module.,Medium,Resolved,Dashboard,Unknown,Unknown,Unknown,Requirements,2024-07-05 18:05:00,,,Safari,,,Functional
JIRA,JIRA-2835,Search results return wrong data,Bug found in dashboard module.,High,Closed,Payment,dev.lead@company.com,Unknown,Testing,Deployment,2024-04-24 20:13:00,,,Chrome,macOS,,Data Integrity
JIRA,JIRA-2899,Slow query on reports page,Bug found in auth module.,High,Resolved,Notifications,product@company.com,product@company.com,Production,Development,2024-03-16 22:29:00,,120.0,Firefox,Linux,,Performance
JIRA,JIRA-2886,CSS broken on Safari browser,Bug found in db module.,Critical,Open,Dashboard,jane.smith@company.com,product@company.com,Production,Maintenance,2024-03-02 00:45:00,,,Internet Explorer,macOS,,UI/Visual
JIRA,JIRA-2765,Payment gateway returns 500 error,Bug found in payment module.,High,Open,Authentication,Unknown,Unknown,Development,Development,2024-01-12 09:18:00,,,Safari,Linux,,API/Integration
JIRA,JIRA-1180,Null pointer exception in auth module,Bug found in db module.,Low,Closed,Authentication,john.doe@company.com,jane.smith@company.com,Production,Unknown,2024-07-19 00:01:00,,480.0,Chrome,macOS,,Crash/Fatal
JIRA,JIRA-1516,Slow query on reports page,Bug found in db module.,Low,Open,Dashboard,dev.lead@company.com,product@company.com,Development,Deployment,2024-04-24 21:18:00,2024-05-08 00:00:00,,,macOS,13.0,Performance
JIRA,JIRA-2391,Timezone conversion incorrect,Bug found in db module.,Critical,Open,API,dev.lead@company.com,john.doe@company.com,Staging,Development,,2024-12-13 06:38:00,,,,,Functional
JIRA,JIRA-1342,API rate limiter not working,Bug found in db module.,High,In Progress,Database,Unknown,qa.team@company.com,Staging,Requirements,2024-05-21 20:48:00,2024-06-14 00:00:00,480.0,Safari,Windows,23.0,API/Integration
JIRA,JIRA-2909,Login button not responding on mobile,Bug found in api module.,Low,Open,Dashboard,jane.smith@company.com,Unknown,Development,Requirements,2024-11-12 14:30:00,2024-11-22 00:00:00,,Edge,,9.0,UI/Visual
JIRA,JIRA-1933,Timezone conversion incorrect,Bug found in payment module.,High,Closed,Notifications,john.doe@company.com,john.doe@company.com,Testing,Design,2024-05-26 05:12:00,2024-06-09 00:00:00,13.5,Firefox,Windows,13.0,Functional
JIRA,JIRA-2141,Session timeout too short,Bug found in auth module.,Low,Open,Database,dev.lead@company.com,john.doe@company.com,Production,Requirements,2024-12-15 11:43:00,,,,Linux,,Performance
JIRA,JIRA-2563,Email notifications not being sent,Bug found in payment module.,Low,Open,Payment,Unknown,Unknown,Staging,Development,2024-05-23 14:37:00,2024-05-24 23:07:00,,Firefox,Windows,1.0,Functional
JIRA,JIRA-1708,Chart rendering fails with large datasets,Bug found in auth module.,Low,In Progress,Payment,Unknown,qa.team@company.com,Unknown,Development,,2025-01-01 00:00:00,,,macOS,,Data Integrity
JIRA,JIRA-2715,Mobile app crashes on startup,Bug found in dashboard module.,Critical,Closed,Notifications,Unknown,Unknown,Testing,Design,2024-04-08 06:30:00,,29.0,Chrome,macOS,,Crash/Fatal
JIRA,JIRA-2767,Database timeout on user search,Bug found in db module.,High,Open,Database,Unknown,Unknown,Development,Requirements,2024-07-17 13:03:00,,480.0,Chrome,Linux,,Performance
JIRA,JIRA-1370,Search results return wrong data,Bug found in payment module.,High,Resolved,Authentication,qa.team@company.com,product@company.com,Development,Design,2024-10-19 05:46:00,,120.0,Edge,macOS,,Data Integrity
JIRA,JIRA-1703,Form validation bypassed on submit,Bug found in db module.,Critical,Closed,API,qa.team@company.com,qa.team@company.com,Production,Design,2024-07-23 23:35:00,2024-07-24 00:00:00,,Edge,macOS,0.0,Functional
JIRA,JIRA-1917,Slow query on reports page,Bug found in auth module.,Medium,Open,Database,john.doe@company.com,Unknown,Production,Requirements,,2025-01-16 00:00:00,201.0,,iOS,,Performance
JIRA,JIRA-1735,Password reset link expired instantly,Bug found in api module.,Low,In Progress,API,product@company.com,Unknown,Unknown,Development,,,32.6,Safari,Linux,,Functional
JIRA,JIRA-2782,Payment gateway returns 500 error,Bug found in payment module.,Medium,In Progress,Database,dev.lead@company.com,dev.lead@company.com,Production,Requirements,2024-08-15 08:16:00,2024-08-30 23:16:00,213.0,Firefox,Linux,15.0,API/Integration
JIRA,JIRA-1777,Export to CSV produces empty file,Bug found in db module.,Low,Open,Dashboard,jane.smith@company.com,product@company.com,Testing,Unknown,2024-04-26 15:01:00,2024-05-23 00:00:00,,Internet Explorer,macOS,26.0,Functional
JIRA,JIRA-2727,Database timeout on user search,Bug found in auth module.,High,Closed,Authentication,jane.smith@company.com,john.doe@company.com,Production,Development,2024-01-12 11:24:00,,480.0,Chrome,Linux,,Performance
JIRA,JIRA-1894,Slow query on reports page,Bug found in dashboard module.,High,Resolved,Payment,Unknown,product@company.com,Testing,Deployment,2024-02-28 17:21:00,,,,,,Performance
JIRA,JIRA-1939,Null pointer exception in auth module,Bug found in payment module.,Low,Closed,Database,Unknown,qa.team@company.com,Staging,Design,2024-03-08 20:27:00,2024-04-04 14:57:00,120.0,Chrome,,26.0,Crash/Fatal
JIRA,JIRA-1288,File upload fails for PDF files,Bug found in api module.,Medium,Open,API,jane.smith@company.com,Unknown,Development,Deployment,2024-12-17 08:37:00,2024-12-25 00:00:00,,Firefox,Linux,7.0,Functional
JIRA,JIRA-2546,Email notifications not being sent,Bug found in dashboard module.,Medium,In Progress,Payment,john.doe@company.com,product@company.com,Testing,Development,2024-10-03 04:10:00,,,,Android,,Functional
JIRA,JIRA-1017,Export to CSV produces empty file,Bug found in auth module.,Low,In Progress,Payment,jane.smith@company.com,qa.team@company.com,Production,Testing,,2024-09-16 20:01:00,120.0,Firefox,macOS,,Functional
JIRA,JIRA-1089,User permissions not applied correctly,Bug found in dashboard module.,Low,In Progress,Database,Unknown,john.doe@company.com,Testing,Development,2024-05-17 20:11:00,,,Safari,Windows,,Security
JIRA,JIRA-2505,Chart rendering fails with large datasets,Bug found in api module.,Medium,Resolved,Dashboard,dev.lead@company.com,dev.lead@company.com,Staging,Maintenance,2024-11-04 15:49:00,2024-11-26 00:00:00,,Edge,iOS,21.0,Data Integrity
JIRA,JIRA-1360,User permissions not applied correctly,Bug found in auth module.,Medium,Open,API,dev.lead@company.com,Unknown,Staging,Testing,2024-11-08 20:58:00,,,,Linux,,Security
JIRA,JIRA-2238,Password reset link expired instantly,Bug found in payment module.,Medium,Open,Authentication,john.doe@company.com,jane.smith@company.com,Testing,Design,2024-08-20 18:56:00,2024-09-04 20:56:00,,Chrome,iOS,15.0,Functional
JIRA,JIRA-1863,Null pointer exception in auth module,Bug found in payment module.,High,Resolved,API,Unknown,john.doe@company.com,Production,Testing,2024-08-10 04:49:00,,26.0,Edge,Windows,,Crash/Fatal
JIRA,JIRA-2040,Form validation bypassed on submit,Bug found in dashboard module.,Critical,Unknown,Payment,qa.team@company.com,qa.team@company.com,Staging,Requirements,2024-07-22 16:39:00,,120.0,Firefox,Android,,Functional
JIRA,JIRA-1543,Slow query on reports page,Bug found in api module.,Critical,Open,Authentication,john.doe@company.com,jane.smith@company.com,Development,Requirements,2024-11-21 13:09:00,2024-11-29 00:00:00,,Chrome,Linux,7.0,Performance
JIRA,JIRA-1191,User permissions not applied correctly,Bug found in dashboard module.,High,Resolved,Dashboard,Unknown,Unknown,Production,Development,2024-09-25 14:02:00,,38.0,,macOS,,Security
JIRA,JIRA-2802,Chart rendering fails with large datasets,Bug found in dashboard module.,Medium,In Progress,Dashboard,Unknown,dev.lead@company.com,Production,Testing,,,85.0,Chrome,macOS,,Data Integrity
JIRA,JIRA-1921,Timezone conversion incorrect,Bug found in api module.,High,Open,Authentication,Unknown,jane.smith@company.com,Staging,Development,2024-05-14 06:30:00,2024-05-27 17:30:00,,Firefox,Android,13.0,Functional
JIRA,JIRA-1549,File upload fails for PDF files,Bug found in api module.,Low,Open,Notifications,john.doe@company.com,Unknown,Staging,Design,,2024-11-20 05:14:00,,Chrome,macOS,,Functional
JIRA,JIRA-2118,Password reset link expired instantly,Bug found in payment module.,Low,Open,Database,Unknown,dev.lead@company.com,Production,Testing,,2024-08-01 09:25:00,480.0,Firefox,,,Functional
JIRA,JIRA-1989,Memory leak in background service,Bug found in auth module.,Medium,In Progress,Database,dev.lead@company.com,Unknown,Staging,Design,2024-03-25 12:12:00,2024-04-16 00:00:00,370.0,Chrome,Android,21.0,Performance
JIRA,JIRA-2103,Database timeout on user search,Bug found in api module.,Critical,Closed,Database,john.doe@company.com,john.doe@company.com,Production,Maintenance,2024-08-04 04:12:00,2024-08-20 07:12:00,43.0,,macOS,16.0,Performance
JIRA,JIRA-2024,Payment gateway returns 500 error,Bug found in db module.,Low,Open,API,Unknown,product@company.com,Unknown,Requirements,,2024-02-10 00:00:00,120.0,Safari,Android,,API/Integration
JIRA,JIRA-1672,CSS broken on Safari browser,Bug found in payment module.,Medium,In Progress,Database,qa.team@company.com,product@company.com,Testing,Maintenance,2024-12-15 14:06:00,,480.0,Chrome,,,UI/Visual
JIRA,JIRA-1900,Session timeout too short,Bug found in dashboard module.,Low,Open,Authentication,jane.smith@company.com,Unknown,Production,Development,2024-10-12 00:58:00,2024-10-14 22:28:00,480.0,Edge,Android,2.0,Performance
JIRA,JIRA-2079,Session timeout too short,Bug found in dashboard module.,Low,Open,Database,qa.team@company.com,dev.lead@company.com,Staging,Design,2024-05-21 21:08:00,,30.4,Safari,Windows,,Performance
JIRA,JIRA-2316,Memory leak in background service,Bug found in payment module.,Critical,In Progress,Dashboard,Unknown,Unknown,Testing,Unknown,,2025-01-05 00:00:00,,Firefox,Windows,,Performance
JIRA,JIRA-2218,Memory leak in background service,Bug found in payment module.,Low,Closed,Notifications,dev.lead@company.com,Unknown,Staging,Maintenance,2024-02-19 21:56:00,,,Chrome,iOS,,Performance
JIRA,JIRA-1320,Search results return wrong data,Bug found in dashboard module.,Medium,Closed,API,Unknown,dev.lead@company.com,Development,Maintenance,2024-10-26 01:43:00,2024-11-20 00:00:00,120.0,Chrome,,24.0,Data Integrity
JIRA,JIRA-1226,Memory leak in background service,Bug found in api module.,High,In Progress,Authentication,Unknown,jane.smith@company.com,Production,Development,2024-12-07 23:25:00,2024-12-24 00:00:00,480.0,Firefox,Linux,16.0,Performance
JIRA,JIRA-1161,Slow query on reports page,Bug found in dashboard module.,High,Resolved,Database,jane.smith@company.com,qa.team@company.com,Development,Development,,2024-10-07 10:17:00,,Chrome,macOS,,Performance
JIRA,JIRA-1519,Chart rendering fails with large datasets,Bug found in db module.,Low,Open,Authentication,jane.smith@company.com,Unknown,Production,Testing,,2024-06-08 20:01:00,310.0,Safari,,,Data Integrity
JIRA,JIRA-1759,Export to CSV produces empty file,Bug found in db module.,Low,In Progress,Notifications,Unknown,Unknown,Unknown,Testing,2024-03-11 00:57:00,,,Internet Explorer,Windows,,Functional
JIRA,JIRA-2635,UI overlapping on dashboard widgets,Bug found in payment module.,High,Unknown,Dashboard,qa.team@company.com,jane.smith@company.com,Staging,Maintenance,,2024-07-26 18:51:00,,Safari,iOS,,UI/Visual
JIRA,JIRA-2537,User permissions not applied correctly,Bug found in api module.,Medium,Closed,Dashboard,Unknown,Unknown,Staging,Development,2024-04-06 12:04:00,,480.0,,Windows,,Security
JIRA,JIRA-1938,Email notifications not being sent,Bug found in payment module.,Low,In Progress,Notifications,product@company.com,Unknown,Development,Design,,,,Edge,Linux,,Functional
JIRA,JIRA-2228,Database timeout on user search,Bug found in dashboard module.,Low,Closed,Notifications,Unknown,jane.smith@company.com,Development,Testing,2024-01-14 15:16:00,,,Internet Explorer,Windows,,Performance
JIRA,JIRA-2356,CSS broken on Safari browser,Bug found in auth module.,High,In Progress,API,dev.lead@company.com,jane.smith@company.com,Staging,Design,2024-06-28 03:57:00,2024-06-30 10:57:00,,Chrome,Android,2.0,UI/Visual
JIRA,JIRA-1280,Email notifications not being sent,Bug found in payment module.,Medium,In Progress,Dashboard,qa.team@company.com,Unknown,Staging,Requirements,,,,Edge,Linux,,Functional
JIRA,JIRA-1751,Payment gateway returns 500 error,Bug found in payment module.,Low,Resolved,Database,john.doe@company.com,Unknown,Production,Design,2024-06-19 18:41:00,,,Firefox,macOS,,API/Integration
JIRA,JIRA-1183,User permissions not applied correctly,Bug found in api module.,Critical,In Progress,Dashboard,dev.lead@company.com,Unknown,Production,Development,2024-05-25 14:57:00,2024-06-18 02:57:00,26.7,Chrome,macOS,23.0,Security
JIRA,JIRA-2312,Database timeout on user search,Bug found in auth module.,Low,Closed,Notifications,john.doe@company.com,Unknown,Staging,Development,2024-07-26 09:10:00,2024-08-05 00:00:00,480.0,Edge,iOS,9.0,Performance
JIRA,JIRA-2616,Mobile app crashes on startup,Bug found in api module.,Critical,In Progress,API,product@company.com,Unknown,Development,Design,2024-01-07 23:25:00,,,Edge,iOS,,Crash/Fatal
JIRA,JIRA-1082,Password reset link expired instantly,Bug found in api module.,Unknown,Resolved,Authentication,jane.smith@company.com,Unknown,Production,Design,2024-04-10 01:44:00,,212.0,Edge,Linux,,Functional
JIRA,JIRA-1662,User permissions not applied correctly,Bug found in api module.,High,Open,API,Unknown,jane.smith@company.com,Testing,Unknown,2024-07-13 09:47:00,,29.6,Safari,Linux,,Security
JIRA,JIRA-2247,Slow query on reports page,Bug found in dashboard module.,Medium,Resolved,Payment,john.doe@company.com,john.doe@company.com,Development,Maintenance,2024-05-21 10:54:00,2024-06-05 05:54:00,,Safari,iOS,14.0,Performance
JIRA,JIRA-2857,Chart rendering fails with large datasets,Bug found in dashboard module.,Medium,Closed,Dashboard,Unknown,Unknown,Production,Testing,2024-11-26 01:12:00,,,Firefox,Android,,Data Integrity
JIRA,JIRA-2339,Database timeout on user search,Bug found in payment module.,High,Open,Authentication,john.doe@company.com,Unknown,Production,Design,,,,Edge,Android,,Performance
JIRA,JIRA-2955,Timezone conversion incorrect,Bug found in api module.,Critical,Open,API,dev.lead@company.com,product@company.com,Production,Testing,2024-10-02 13:00:00,,,Edge,Windows,,Functional
JIRA,JIRA-1841,Session timeout too short,Bug found in payment module.,Critical,Unknown,Database,Unknown,product@company.com,Staging,Maintenance,2024-07-16 04:47:00,2024-08-06 00:00:00,4.1,Firefox,Android,20.0,Performance
JIRA,JIRA-2013,CSS broken on Safari browser,Bug found in db module.,Medium,Open,Payment,product@company.com,Unknown,Development,Maintenance,2024-11-25 18:59:00,,,Safari,macOS,,UI/Visual
JIRA,JIRA-1033,Mobile app crashes on startup,Bug found in payment module.,Critical,Closed,Dashboard,Unknown,Unknown,Production,Testing,2024-12-12 02:17:00,,,Firefox,Android,,Crash/Fatal
JIRA,JIRA-2711,Form validation bypassed on submit,Bug found in payment module.,Low,In Progress,Payment,qa.team@company.com,dev.lead@company.com,Staging,Unknown,2024-10-30 06:29:00,,,Chrome,Windows,,Functional
JIRA,JIRA-1842,Payment gateway returns 500 error,Bug found in dashboard module.,Low,Open,Dashboard,dev.lead@company.com,dev.lead@company.com,Development,Testing,,,,,Linux,,API/Integration
JIRA,JIRA-2743,Chart rendering fails with large datasets,Bug found in auth module.,Unknown,Open,Notifications,dev.lead@company.com,product@company.com,Testing,Unknown,2024-02-11 11:56:00,,37.8,Firefox,iOS,,Data Integrity
JIRA,JIRA-1282,Timezone conversion incorrect,Bug found in dashboard module.,Critical,Resolved,Dashboard,product@company.com,product@company.com,Development,Maintenance,2024-12-17 04:18:00,2025-01-07 07:18:00,217.0,Firefox,Windows,21.0,Functional
JIRA,JIRA-2889,API rate limiter not working,Bug found in dashboard module.,Critical,Unknown,Database,product@company.com,Unknown,Staging,Requirements,2024-12-15 09:03:00,2025-01-12 00:00:00,4.5,Firefox,Android,27.0,API/Integration
JIRA,JIRA-2701,User permissions not applied correctly,Bug found in dashboard module.,High,Open,Notifications,dev.lead@company.com,Unknown,Production,Testing,2024-12-18 06:04:00,2025-01-11 08:04:00,,Firefox,Android,24.0,Security
JIRA,JIRA-1076,Export to CSV produces empty file,Bug found in db module.,Critical,Resolved,Authentication,qa.team@company.com,jane.smith@company.com,Development,Design,,2024-06-28 00:00:00,480.0,Edge,Linux,,Functional
JIRA,JIRA-2912,Password reset link expired instantly,Bug found in dashboard module.,Low,Open,Payment,Unknown,qa.team@company.com,Development,Design,2024-07-17 06:18:00,,4.8,Firefox,Linux,,Functional
JIRA,JIRA-1223,CSS broken on Safari browser,Bug found in auth module.,Medium,Open,API,dev.lead@company.com,jane.smith@company.com,Staging,Unknown,,2024-09-09 22:49:00,21.1,Firefox,Android,,UI/Visual
JIRA,JIRA-1021,API rate limiter not working,Bug found in db module.,Medium,Closed,API,product@company.com,Unknown,Production,Design,,,480.0,Chrome,macOS,,API/Integration
JIRA,JIRA-2113,Timezone conversion incorrect,Bug found in api module.,High,Open,Database,john.doe@company.com,Unknown,Unknown,Testing,2024-05-16 02:32:00,,478.0,Safari,,,Functional
JIRA,JIRA-2901,File upload fails for PDF files,Bug found in auth module.,Critical,Closed,Unknown,Unknown,Unknown,Testing,Testing,2024-03-10 14:06:00,,285.0,Safari,Android,,Functional
JIRA,JIRA-2338,Form validation bypassed on submit,Bug found in payment module.,Medium,Open,Unknown,dev.lead@company.com,jane.smith@company.com,Production,Testing,2024-01-07 02:42:00,,120.0,Safari,macOS,,Functional
JIRA,JIRA-2666,Null pointer exception in auth module,Bug found in db module.,Medium,Resolved,Database,Unknown,product@company.com,Development,Requirements,2024-12-24 01:49:00,2025-01-18 00:00:00,120.0,Chrome,Linux,24.0,Crash/Fatal
JIRA,JIRA-2207,User permissions not applied correctly,Bug found in payment module.,Low,Open,Authentication,product@company.com,jane.smith@company.com,Production,Requirements,,,241.0,Safari,Windows,,Security
JIRA,JIRA-2259,Search results return wrong data,Bug found in db module.,High,In Progress,Authentication,john.doe@company.com,qa.team@company.com,Unknown,Maintenance,,,,Firefox,macOS,,Data Integrity
JIRA,JIRA-2938,Login button not responding on mobile,Bug found in dashboard module.,Low,Resolved,API,jane.smith@company.com,john.doe@company.com,Staging,Design,2024-05-01 15:04:00,2024-05-20 00:00:00,,Chrome,Linux,18.0,UI/Visual
JIRA,JIRA-1813,Database timeout on user search,Bug found in auth module.,Low,In Progress,Dashboard,john.doe@company.com,qa.team@company.com,Staging,Design,2024-08-26 10:26:00,2024-09-25 00:00:00,,,Android,29.0,Performance
JIRA,JIRA-2164,CSS broken on Safari browser,Bug found in dashboard module.,Medium,In Progress,Notifications,Unknown,Unknown,Development,Testing,,,480.0,Internet Explorer,Linux,,UI/Visual
JIRA,JIRA-1277,Chart rendering fails with large datasets,Bug found in dashboard module.,Medium,Resolved,Notifications,Unknown,dev.lead@company.com,Development,Unknown,2024-05-13 09:39:00,2024-05-24 13:39:00,480.0,Chrome,Windows,11.0,Data Integrity
JIRA,JIRA-2869,UI overlapping on dashboard widgets,Bug found in db module.,High,Resolved,Database,product@company.com,john.doe@company.com,Production,Testing,2024-11-07 16:58:00,,,,Android,,UI/Visual
JIRA,JIRA-2934,CSS broken on Safari browser,Bug found in dashboard module.,Low,Open,Unknown,qa.team@company.com,Unknown,Testing,Testing,2024-09-19 20:12:00,,319.0,Edge,Windows,,UI/Visual
